"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-08"
"TIME","18:07:39"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.0","1.16615E+03","-56.7317"
"2","10.6","1.11324E+03","-56.5195"
"3","11.23","1.06319E+03","-56.3221"
"4","11.9","1.01616E+03","-56.1534"
"5","12.6","9.71960E+02","-55.9237"
"6","13.35","9.29300E+02","-55.7086"
"7","14.15","8.89270E+02","-55.6010"
"8","14.99","8.50215E+02","-55.3903"
"9","15.89","8.14115E+02","-54.8380"
"10","16.83","7.74269E+02","-54.7825"
"11","17.83","7.40260E+02","-54.5370"
"12","18.9","7.09169E+02","-54.1858"
"13","20.02","6.78625E+02","-53.9649"
"14","21.21","6.50935E+02","-53.8081"
"15","22.48","6.22978E+02","-53.4234"
"16","23.82","5.95647E+02","-53.1751"
"17","25.24","5.70736E+02","-52.8570"
"18","26.74","5.47874E+02","-52.5619"
"19","28.33","5.25679E+02","-52.2534"
"20","30.02","5.05337E+02","-51.9505"
"21","31.81","4.84493E+02","-51.7428"
"22","33.7","4.64749E+02","-51.2559"
"23","35.71","4.46003E+02","-50.9331"
"24","37.83","4.28442E+02","-50.4522"
"25","40.09","4.12398E+02","-50.1684"
"26","42.48","3.97070E+02","-49.8800"
"27","45.01","3.81950E+02","-49.5813"
"28","47.69","3.67284E+02","-49.0937"
"29","50.53","3.53467E+02","-48.5677"
"30","53.54","3.41136E+02","-48.1828"
"31","56.72","3.28758E+02","-47.7753"
"32","60.1","3.17323E+02","-47.3859"
"33","63.68","3.05827E+02","-46.9414"
"34","67.48","2.94912E+02","-46.3909"
"35","71.49","2.85182E+02","-45.9853"
"36","75.75","2.75949E+02","-45.4879"
"37","80.26","2.66890E+02","-45.1933"
"38","85.04","2.57923E+02","-44.7143"
"39","90.11","2.49344E+02","-44.0827"
"40","95.48","2.42681E+02","-43.6462"
"41","101.16","2.35024E+02","-43.1790"
"42","107.19","2.27997E+02","-42.6114"
"43","113.57","2.21639E+02","-42.1606"
"44","120.34","2.14889E+02","-41.6788"
"45","127.51","2.08961E+02","-41.1634"
"46","135.1","2.03494E+02","-40.7863"
"47","143.15","1.97529E+02","-40.2103"
"48","151.67","1.92757E+02","-39.6118"
"49","160.71","1.87585E+02","-39.1303"
"50","170.28","1.82736E+02","-38.5441"
"51","180.42","1.78250E+02","-38.1428"
"52","191.16","1.73742E+02","-37.5246"
"53","202.55","1.69727E+02","-37.0012"
"54","214.61","1.65547E+02","-36.4475"
"55","227.4","1.61966E+02","-35.7829"
"56","240.94","1.58221E+02","-35.3710"
"57","255.29","1.54843E+02","-34.7647"
"58","270.5","1.51078E+02","-34.2880"
"59","286.61","1.48327E+02","-33.7019"
"60","303.68","1.45229E+02","-33.2037"
"61","321.76","1.42411E+02","-32.5834"
"62","340.93","1.39396E+02","-32.0297"
"63","361.23","1.36791E+02","-31.5642"
"64","382.75","1.34295E+02","-30.9201"
"65","405.55","1.31780E+02","-30.3974"
"66","429.7","1.29457E+02","-29.8105"
"67","455.29","1.27131E+02","-29.2090"
"68","482.41","1.24952E+02","-28.8120"
"69","511.14","1.22862E+02","-28.2137"
"70","541.59","1.20974E+02","-27.6567"
"71","573.84","1.19076E+02","-27.0856"
"72","608.02","1.17151E+02","-26.4952"
"73","644.24","1.15389E+02","-25.9545"
"74","682.61","1.13657E+02","-25.4570"
"75","723.26","1.12078E+02","-24.9083"
