"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-11-23"
"TIME","20:01:26"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","671.0413E+00","-49.816"
"2","10.600E+00","645.9989E+00","-49.732"
"3","11.230E+00","621.5728E+00","-49.685"
"4","11.900E+00","597.6137E+00","-49.600"
"5","12.600E+00","574.9711E+00","-49.465"
"6","13.350E+00","553.4915E+00","-49.314"
"7","14.150E+00","533.2936E+00","-49.162"
"8","14.990E+00","514.7112E+00","-49.028"
"9","15.890E+00","497.1909E+00","-48.954"
"10","16.830E+00","479.8272E+00","-48.920"
"11","17.830E+00","462.0811E+00","-48.833"
"12","18.900E+00","444.6630E+00","-48.644"
"13","20.020E+00","428.7878E+00","-48.447"
"14","21.210E+00","413.7623E+00","-48.259"
"15","22.480E+00","400.1797E+00","-48.074"
"16","23.820E+00","387.1637E+00","-47.976"
"17","25.240E+00","373.8597E+00","-47.901"
"18","26.740E+00","360.3978E+00","-47.742"
"19","28.330E+00","347.5889E+00","-47.504"
"20","30.020E+00","335.6981E+00","-47.231"
"21","31.810E+00","325.0909E+00","-46.976"
"22","33.700E+00","315.1433E+00","-46.849"
"23","35.710E+00","305.0180E+00","-46.730"
"24","37.830E+00","294.3852E+00","-46.598"
"25","40.090E+00","284.3847E+00","-46.293"
"26","42.480E+00","275.1901E+00","-45.943"
"27","45.010E+00","266.9539E+00","-45.666"
"28","47.690E+00","259.4348E+00","-45.522"
"29","50.530E+00","251.5039E+00","-45.429"
"30","53.540E+00","243.1978E+00","-45.173"
"31","56.720E+00","236.9030E+00","-44.835"
"32","60.100E+00","229.9867E+00","-44.572"
"33","63.680E+00","223.2625E+00","-44.480"
"34","67.480E+00","215.9582E+00","-44.244"
"35","71.490E+00","209.3388E+00","-43.846"
"36","75.750E+00","203.6411E+00","-43.493"
"37","80.260E+00","198.6051E+00","-43.233"
"38","85.040E+00","193.4504E+00","-43.127"
"39","90.110E+00","187.4891E+00","-42.892"
"40","95.480E+00","182.3154E+00","-42.488"
"41","101.16E+00","177.8963E+00","-42.117"
"42","107.19E+00","173.5379E+00","-42.028"
"43","113.57E+00","168.2980E+00","-41.644"
"44","120.34E+00","164.5717E+00","-41.289"
"45","127.51E+00","160.4781E+00","-41.215"
"46","135.10E+00","156.1427E+00","-40.751"
"47","143.15E+00","152.9498E+00","-40.534"
"48","151.67E+00","148.6175E+00","-40.296"
"49","160.71E+00","145.3495E+00","-39.847"
"50","170.28E+00","142.0698E+00","-39.778"
"51","180.42E+00","138.4743E+00","-39.312"
"52","191.16E+00","135.7384E+00","-39.140"
"53","202.55E+00","132.0781E+00","-38.796"
"54","214.61E+00","129.6631E+00","-38.462"
"55","227.40E+00","126.3292E+00","-38.270"
"56","240.94E+00","123.9899E+00","-37.859"
"57","255.29E+00","120.9125E+00","-37.687"
"58","270.50E+00","118.6716E+00","-37.254"
"59","286.61E+00","115.8816E+00","-37.138"
"60","303.68E+00","113.6565E+00","-36.645"
"61","321.76E+00","111.0483E+00","-36.493"
"62","340.93E+00","109.1192E+00","-36.097"
"63","361.23E+00","106.5130E+00","-35.829"
"64","382.75E+00","104.6888E+00","-35.585"
"65","405.55E+00","102.4840E+00","-35.122"
"66","429.70E+00","100.2939E+00","-34.947"
"67","455.29E+00","98.61276E+00","-34.668"
"68","482.41E+00","96.69172E+00","-34.218"
"69","511.14E+00","94.72758E+00","-34.059"
"70","541.59E+00","92.83057E+00","-33.705"
"71","573.84E+00","91.18363E+00","-33.427"
"72","608.02E+00","89.59322E+00","-33.106"
"73","644.24E+00","87.91954E+00","-32.789"
"74","682.61E+00","86.38291E+00","-32.348"
"75","723.26E+00","84.74628E+00","-31.975"
"76","766.34E+00","83.07844E+00","-31.716"
"77","811.98E+00","81.81149E+00","-31.315"
"78","860.35E+00","80.37384E+00","-31.087"
"79","911.59E+00","78.82636E+00","-30.710"
"80","965.88E+00","77.61647E+00","-30.417"
"81","1.0234E+03","76.08752E+00","-29.973"
"82","1.0844E+03","75.01625E+00","-29.641"
"83","1.1490E+03","73.64104E+00","-29.331"
"84","1.2174E+03","72.55424E+00","-28.946"
"85","1.2899E+03","71.27784E+00","-28.608"
"86","1.3667E+03","70.11543E+00","-28.108"
"87","1.4481E+03","68.99669E+00","-27.738"
"88","1.5344E+03","67.98639E+00","-27.374"
"89","1.6258E+03","66.76601E+00","-27.013"
"90","1.7226E+03","65.79358E+00","-26.553"
"91","1.8252E+03","64.86812E+00","-26.246"
"92","1.9339E+03","63.84401E+00","-25.803"
"93","2.0491E+03","62.94363E+00","-25.314"
"94","2.1711E+03","62.11177E+00","-24.947"
"95","2.3004E+03","61.18587E+00","-24.479"
"96","2.4374E+03","60.16695E+00","-24.049"
"97","2.5826E+03","59.50944E+00","-23.676"
"98","2.7364E+03","58.70724E+00","-23.207"
"99","2.8994E+03","57.90658E+00","-22.722"
"100","3.0721E+03","57.10539E+00","-22.324"
"101","3.2551E+03","56.41698E+00","-21.876"
"102","3.4490E+03","55.70507E+00","-21.453"
"103","3.6544E+03","55.04064E+00","-20.928"
"104","3.8720E+03","54.33860E+00","-20.523"
"105","4.1027E+03","53.67292E+00","-20.037"
"106","4.3470E+03","53.06585E+00","-19.587"
"107","4.6059E+03","52.49131E+00","-19.116"
"108","4.8803E+03","51.91010E+00","-18.631"
"109","5.1709E+03","51.40149E+00","-18.149"
"110","5.4789E+03","50.86523E+00","-17.671"
"111","5.8052E+03","50.42150E+00","-17.231"
"112","6.1510E+03","49.89610E+00","-16.724"
"113","6.5173E+03","49.43513E+00","-16.281"
"114","6.9055E+03","49.00898E+00","-15.832"
"115","7.3168E+03","48.59699E+00","-15.368"
"116","7.7526E+03","48.16788E+00","-14.945"
"117","8.2143E+03","47.80894E+00","-14.499"
"118","8.7036E+03","47.44802E+00","-14.082"
"119","9.2220E+03","47.09847E+00","-13.645"
"120","9.7712E+03","46.75789E+00","-13.261"
"121","10.353E+03","46.42833E+00","-12.840"
"122","10.970E+03","46.12487E+00","-12.438"
"123","11.623E+03","45.83399E+00","-12.041"
"124","12.316E+03","45.55935E+00","-11.665"
"125","13.049E+03","45.29287E+00","-11.284"
"126","13.826E+03","45.03620E+00","-10.918"
"127","14.650E+03","44.79382E+00","-10.552"
"128","15.522E+03","44.56479E+00","-10.208"
"129","16.447E+03","44.34444E+00","-9.865"
"130","17.426E+03","44.14067E+00","-9.538"
"131","18.464E+03","43.93894E+00","-9.211"
"132","19.564E+03","43.74760E+00","-8.903"
