"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-29"
"TIME","18:35:26"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","FAST"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.0","8.18857E+02","-69.1714"
"2","10.6","7.80880E+02","-69.1145"
"3","11.23","7.45200E+02","-68.9552"
"4","11.9","7.12771E+02","-68.5481"
"5","12.6","6.80494E+02","-68.5078"
"6","13.35","6.52292E+02","-68.1848"
"7","14.15","6.23393E+02","-68.1939"
"8","14.99","5.92351E+02","-67.9216"
"9","15.89","5.66216E+02","-67.7518"
"10","16.83","5.39456E+02","-67.5474"
"11","17.83","5.14978E+02","-67.4647"
"12","18.9","4.91352E+02","-67.0586"
"13","20.02","4.70672E+02","-66.7061"
"14","21.21","4.52886E+02","-66.9319"
"15","22.48","4.29549E+02","-66.4128"
"16","23.82","4.10256E+02","-66.4252"
"17","25.24","3.91986E+02","-65.8298"
"18","26.74","3.74985E+02","-65.5032"
"19","28.33","3.59569E+02","-65.2471"
"20","30.02","3.45343E+02","-65.3236"
"21","31.81","3.27037E+02","-65.0411"
"22","33.7","3.13037E+02","-64.0321"
"23","35.71","2.97725E+02","-64.5999"
"24","37.83","2.88899E+02","-63.5824"
"25","40.09","2.72199E+02","-63.2747"
"26","42.48","2.61706E+02","-63.6946"
"27","45.01","2.51469E+02","-63.3447"
"28","47.69","2.42076E+02","-62.2186"
"29","50.53","2.31470E+02","-62.0002"
"30","53.54","2.21814E+02","-61.7243"
"31","56.72","2.11523E+02","-61.5995"
"32","60.1","2.00952E+02","-61.0175"
"33","63.68","1.91757E+02","-60.2256"
"34","67.48","1.85462E+02","-59.2981"
"35","71.49","1.78584E+02","-59.4635"
"36","75.75","1.68946E+02","-59.0517"
"37","80.26","1.62718E+02","-57.9340"
"38","85.04","1.56804E+02","-57.8283"
"39","90.11","1.50392E+02","-57.1023"
"40","95.48","1.44247E+02","-56.7168"
"41","101.16","1.37759E+02","-55.4806"
"42","107.19","1.32894E+02","-55.4520"
"43","113.57","1.27999E+02","-54.7942"
"44","120.34","1.23005E+02","-53.5923"
"45","127.51","1.18223E+02","-53.5524"
"46","135.1","1.13872E+02","-52.6706"
"47","143.15","1.10430E+02","-51.7696"
"48","151.67","1.05196E+02","-51.0070"
"49","160.71","1.02303E+02","-50.3381"
"50","170.28","9.81617E+01","-49.6877"
"51","180.42","9.50914E+01","-48.9123"
"52","191.16","9.16991E+01","-48.2145"
"53","202.55","8.91078E+01","-47.2062"
"54","214.61","8.57460E+01","-46.6513"
"55","227.4","8.30633E+01","-45.5182"
"56","240.94","8.04383E+01","-44.8092"
"57","255.29","7.82720E+01","-44.0075"
"58","270.5","7.59554E+01","-43.0098"
"59","286.61","7.34298E+01","-42.1213"
"60","303.68","7.17866E+01","-41.2460"
"61","321.76","6.98395E+01","-40.5557"
"62","340.93","6.76550E+01","-39.2015"
"63","361.23","6.58759E+01","-38.3530"
"64","382.75","6.41824E+01","-37.4685"
"65","405.55","6.26215E+01","-37.0777"
"66","429.7","6.12329E+01","-36.0031"
"67","455.29","6.00102E+01","-34.8967"
"68","482.41","5.84830E+01","-34.1737"
"69","511.14","5.72368E+01","-33.1751"
"70","541.59","5.59038E+01","-32.3459"
"71","573.84","5.48787E+01","-31.6646"
"72","608.02","5.39864E+01","-30.6348"
"73","644.24","5.27376E+01","-29.7759"
"74","682.61","5.17611E+01","-28.8977"
"75","723.26","5.10498E+01","-28.0630"
"76","766.34","5.02729E+01","-27.5464"
"77","811.98","4.92879E+01","-26.3881"
"78","860.35","4.86321E+01","-25.9338"
"79","911.59","4.79570E+01","-25.2533"
"80","965.88","4.71120E+01","-24.3736"
"81","1023.4","4.66048E+01","-23.5609"
"82","1084.4","4.61675E+01","-22.8553"
"83","1149.0","4.53843E+01","-22.1000"
"84","1217.4","4.48571E+01","-21.5211"
"85","1289.9","4.44791E+01","-20.4536"
"86","1366.7","4.37882E+01","-20.2556"
"87","1448.1","4.32632E+01","-19.4236"
"88","1534.4","4.28393E+01","-18.7371"
"89","1625.8","4.24952E+01","-18.5053"
"90","1722.6","4.20998E+01","-17.6745"
"91","1825.2","4.20624E+01","-17.3341"
"92","1933.9","4.11482E+01","-16.6812"
"93","2049.1","4.07709E+01","-15.7994"
"94","2171.1","4.07339E+01","-15.2871"
"95","2300.4","4.04492E+01","-14.7164"
"96","2437.4","3.99063E+01","-14.4360"
"97","2582.6","3.98799E+01","-13.9159"
"98","2736.4","3.94832E+01","-13.8933"
"99","2899.4","3.88686E+01","-12.8721"
"100","3072.1","3.91482E+01","-12.4569"
"101","3255.1","3.86006E+01","-12.3420"
"102","3449.0","3.85704E+01","-11.5350"
"103","3654.4","3.81123E+01","-11.1227"
"104","3872.0","3.83227E+01","-11.1011"
"105","4102.7","3.77234E+01","-10.8239"
"106","4347.0","3.78288E+01","-10.2082"
"107","4605.9","3.72749E+01","-10.0419"
"108","4880.3","3.74406E+01","-9.0991"
"109","5170.9","3.73391E+01","-9.1974"
"110","5478.9","3.67093E+01","-9.3137"
"111","5805.2","3.68264E+01","-8.3936"
"112","6151.0","3.65199E+01","-8.9796"
"113","6517.3","3.65236E+01","-7.2846"
"114","6905.5","3.58678E+01","-7.7394"
"115","7316.8","3.61566E+01","-8.2588"
"116","7752.6","3.60778E+01","-7.2443"
"117","8214.3","3.60259E+01","-6.0861"
"118","8703.6","3.57106E+01","-7.2491"
"119","9222.0","3.60472E+01","-6.4927"
"120","9771.2","3.56456E+01","-6.0768"
"121","10353.0","3.56502E+01","-6.0022"
"122","10970.0","3.55649E+01","-5.5773"
"123","11623.0","3.55182E+01","-5.2244"
"124","12316.0","3.53040E+01","-5.1800"
"125","13049.0","3.50145E+01","-5.1945"
"126","13826.0","3.48989E+01","-4.8769"
"127","14650.0","3.49631E+01","-4.5449"
"128","15522.0","3.48912E+01","-4.1042"
"129","16447.0","3.48108E+01","-4.3031"
"130","17426.0","3.47397E+01","-4.0983"
"131","18464.0","3.46106E+01","-4.1155"
"132","19564.0","3.47434E+01","-4.1901"
"133","20729.0","3.47821E+01","-4.0962"
"134","21964.0","3.43980E+01","-3.6675"
"135","23272.0","3.42692E+01","-3.0206"
"136","24658.0","3.43197E+01","-3.3040"
"137","26127.0","3.44866E+01","-3.7844"
"138","27683.0","3.43173E+01","-2.9431"
"139","29332.0","3.43000E+01","-3.1805"
"140","31079.0","3.43213E+01","-2.6656"
"141","32930.0","3.41698E+01","-3.0045"
"142","34891.0","3.41955E+01","-2.5799"
"143","36969.0","3.41580E+01","-2.6233"
"144","39171.0","3.40623E+01","-2.5554"
"145","41504.0","3.39101E+01","-2.4448"
"146","43976.0","3.40769E+01","-1.9884"
"147","46595.0","3.38633E+01","-2.2046"
"148","49370.0","3.37722E+01","-2.0730"
"149","52311.0","3.38726E+01","-1.8792"
"150","55427.0","3.38937E+01","-1.8121"
"151","58728.0","3.38590E+01","-1.6671"
"152","62226.0","3.37122E+01","-1.6187"
"153","65932.0","3.38226E+01","-1.7567"
"154","69859.0","3.37626E+01","-1.5475"
"155","74020.0","3.37160E+01","-1.4660"
"156","78428.0","3.36975E+01","-1.3708"
"157","83099.0","3.36946E+01","-1.3143"
"158","88049.0","3.36638E+01","-1.4324"
"159","93293.0","3.36174E+01","-1.2517"
"160","98850.0","3.36555E+01","-1.0548"
"161","104740.0","3.36083E+01","-1.2640"
"162","110980.0","3.37213E+01","-0.9108"
"163","117580.0","3.35304E+01","-0.9741"
"164","124590.0","3.35695E+01","-0.9275"
"165","132010.0","3.33636E+01","-0.8438"
"166","139870.0","3.34696E+01","-0.7518"
"167","148200.0","3.34935E+01","-0.7974"
"168","157030.0","3.34027E+01","-0.7832"
"169","166380.0","3.34481E+01","-0.6299"
"170","176290.0","3.35679E+01","-0.4889"
"171","186790.0","3.33979E+01","-0.5176"
"172","197920.0","3.34341E+01","-0.2132"
"173","209700.0","3.34113E+01","-0.3738"
"174","222190.0","3.33436E+01","-0.1833"
"175","235430.0","3.33135E+01","-0.2504"
"176","249450.0","3.35220E+01","-0.2885"
"177","264310.0","3.35439E+01","-0.3834"
"178","280050.0","3.33612E+01","-0.1074"
"179","296730.0","3.35373E+01","-0.0182"
"180","314400.0","3.34670E+01","0.0374"
"181","333130.0","3.33566E+01","0.1696"
"182","352970.0","3.34036E+01","0.1767"
"183","373990.0","3.33020E+01","0.2549"
"184","396270.0","3.34709E+01","0.3131"
"185","419870.0","3.33647E+01","0.2179"
"186","444880.0","3.34015E+01","0.4773"
"187","471380.0","3.36353E+01","0.5573"
"188","499450.0","3.35608E+01","0.6601"
"189","529200.0","3.37829E+01","0.7971"
"190","560720.0","3.38429E+01","0.8144"
"191","594110.0","3.39203E+01","1.0334"
"192","629500.0","3.39536E+01","1.1886"
"193","666990.0","3.38820E+01","1.3351"
"194","706720.0","3.39159E+01","1.3951"
"195","748810.0","3.39455E+01","1.5067"
"196","793410.0","3.38923E+01","1.5828"
"197","840670.0","3.39311E+01","1.7705"
"198","890740.0","3.39186E+01","1.8452"
"199","943790.0","3.38912E+01","1.9181"
"200","1000000.0","3.39299E+01","2.1137"
