"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-11-17"
"TIME","20:11:25"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"CC","1.00","mA"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.000E+00","551.4281E+00","-61.967"
"2","10.600E+00","527.4677E+00","-62.106"
"3","11.230E+00","512.0281E+00","-62.174"
"4","11.900E+00","495.7554E+00","-62.245"
"5","12.600E+00","479.3855E+00","-62.247"
"6","13.350E+00","463.6112E+00","-62.195"
"7","14.150E+00","448.7952E+00","-62.076"
"8","14.990E+00","434.8094E+00","-61.954"
"9","15.890E+00","421.9439E+00","-61.957"
"10","16.830E+00","408.6426E+00","-62.000"
"11","17.830E+00","395.0100E+00","-61.966"
"12","18.900E+00","381.9732E+00","-61.831"
"13","20.020E+00","370.3142E+00","-61.628"
"14","21.210E+00","359.4520E+00","-61.539"
"15","22.480E+00","348.2596E+00","-61.587"
"16","23.820E+00","336.5463E+00","-61.466"
"17","25.240E+00","325.6418E+00","-61.314"
"18","26.740E+00","315.8403E+00","-61.144"
"19","28.330E+00","306.1614E+00","-61.114"
"20","30.020E+00","295.9282E+00","-61.094"
"21","31.810E+00","286.0705E+00","-60.908"
"22","33.700E+00","277.3260E+00","-60.678"
"23","35.710E+00","268.9767E+00","-60.609"
"24","37.830E+00","259.8907E+00","-60.574"
"25","40.090E+00","251.3360E+00","-60.355"
"26","42.480E+00","243.5640E+00","-60.151"
"27","45.010E+00","235.8133E+00","-60.166"
"28","47.690E+00","227.8434E+00","-59.925"
"29","50.530E+00","220.8578E+00","-59.695"
"30","53.540E+00","213.6846E+00","-59.603"
"31","56.720E+00","206.4971E+00","-59.463"
"32","60.100E+00","199.9745E+00","-59.184"
"33","63.680E+00","193.7559E+00","-59.025"
"34","67.480E+00","186.9663E+00","-58.896"
"35","71.490E+00","181.0248E+00","-58.593"
"36","75.750E+00","175.1957E+00","-58.497"
"37","80.260E+00","168.9200E+00","-58.250"
"38","85.040E+00","163.6010E+00","-57.942"
"39","90.110E+00","158.1200E+00","-57.834"
"40","95.480E+00","152.7858E+00","-57.461"
"41","101.16E+00","147.9598E+00","-57.246"
"42","107.19E+00","143.1760E+00","-56.976"
"43","113.57E+00","138.4068E+00","-56.720"
"44","120.34E+00","133.9412E+00","-56.495"
"45","127.51E+00","129.5134E+00","-56.149"
"46","135.10E+00","125.3413E+00","-55.876"
"47","143.15E+00","121.1185E+00","-55.552"
"48","151.67E+00","117.0655E+00","-55.245"
"49","160.71E+00","113.2142E+00","-54.918"
"50","170.28E+00","109.4818E+00","-54.563"
"51","180.42E+00","105.8093E+00","-54.175"
