"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-12-08"
"TIME","18:07:39"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.0","1.08849E+03","-63.4149"
"2","10.6","1.03910E+03","-63.0921"
"3","11.23","9.92643E+02","-62.9317"
"4","11.9","9.47843E+02","-62.7664"
"5","12.6","9.07124E+02","-62.5987"
"6","13.35","8.67485E+02","-62.3076"
"7","14.15","8.29038E+02","-62.1513"
"8","14.99","7.93834E+02","-61.8643"
"9","15.89","7.59503E+02","-61.3913"
"10","16.83","7.23019E+02","-61.1121"
"11","17.83","6.91299E+02","-60.9432"
"12","18.9","6.62172E+02","-60.5486"
"13","20.02","6.33987E+02","-60.3433"
"14","21.21","6.07583E+02","-60.1284"
"15","22.48","5.81308E+02","-59.7857"
"16","23.82","5.56972E+02","-59.4469"
"17","25.24","5.33209E+02","-59.2092"
"18","26.74","5.11274E+02","-58.7959"
"19","28.33","4.90849E+02","-58.4173"
"20","30.02","4.71393E+02","-58.0948"
"21","31.81","4.52368E+02","-57.8314"
"22","33.7","4.33567E+02","-57.2918"
"23","35.71","4.15828E+02","-56.9953"
"24","37.83","4.00197E+02","-56.5284"
"25","40.09","3.84750E+02","-56.1289"
"26","42.48","3.70716E+02","-55.6481"
"27","45.01","3.56506E+02","-55.3556"
"28","47.69","3.42835E+02","-54.9530"
"29","50.53","3.30163E+02","-54.4119"
"30","53.54","3.18043E+02","-53.8677"
"31","56.72","3.07241E+02","-53.4613"
"32","60.1","2.96162E+02","-52.9938"
"33","63.68","2.85477E+02","-52.5490"
"34","67.48","2.75243E+02","-51.9127"
"35","71.49","2.66038E+02","-51.4045"
"36","75.75","2.57598E+02","-50.9116"
"37","80.26","2.48705E+02","-50.5978"
"38","85.04","2.40692E+02","-49.9468"
"39","90.11","2.32855E+02","-49.3192"
"40","95.48","2.26199E+02","-48.8779"
"41","101.16","2.19387E+02","-48.3135"
"42","107.19","2.12877E+02","-47.7535"
"43","113.57","2.07051E+02","-47.2406"
"44","120.34","2.00877E+02","-46.7037"
"45","127.51","1.95049E+02","-45.9821"
"46","135.1","1.89870E+02","-45.4926"
"47","143.15","1.84525E+02","-44.9193"
"48","151.67","1.79804E+02","-44.3305"
"49","160.71","1.74979E+02","-43.7921"
"50","170.28","1.70444E+02","-43.1800"
"51","180.42","1.66470E+02","-42.5746"
"52","191.16","1.62114E+02","-41.9682"
"53","202.55","1.58476E+02","-41.3228"
"54","214.61","1.54551E+02","-40.7797"
"55","227.4","1.50932E+02","-40.1698"
"56","240.94","1.47609E+02","-39.5677"
"57","255.29","1.44527E+02","-38.8866"
"58","270.5","1.41128E+02","-38.2861"
"59","286.61","1.38349E+02","-37.6535"
"60","303.68","1.35451E+02","-37.0521"
"61","321.76","1.32938E+02","-36.4355"
"62","340.93","1.29970E+02","-35.8058"
"63","361.23","1.27777E+02","-35.2140"
"64","382.75","1.25254E+02","-34.6026"
"65","405.55","1.22838E+02","-33.9870"
"66","429.7","1.20794E+02","-33.3418"
"67","455.29","1.18592E+02","-32.7031"
"68","482.41","1.16549E+02","-32.0613"
"69","511.14","1.14730E+02","-31.5334"
"70","541.59","1.12869E+02","-30.9026"
"71","573.84","1.10998E+02","-30.2672"
"72","608.02","1.09263E+02","-29.6119"
"73","644.24","1.07712E+02","-29.0726"
"74","682.61","1.06068E+02","-28.4617"
"75","723.26","1.04478E+02","-27.8338"
"76","766.34","1.03072E+02","-27.2110"
"77","811.98","1.01626E+02","-26.6619"
"78","860.35","1.00338E+02","-26.0172"
"79","911.59","9.91785E+01","-25.5010"
"80","965.88","9.78034E+01","-24.9668"
"81","1023.4","9.66519E+01","-24.3756"
"82","1084.4","9.56173E+01","-23.7901"
"83","1149.0","9.44883E+01","-23.2953"
"84","1217.4","9.35129E+01","-22.7308"
"85","1289.9","9.24651E+01","-22.2234"
"86","1366.7","9.14609E+01","-21.6952"
"87","1448.1","9.06201E+01","-21.1362"
"88","1534.4","8.96571E+01","-20.5921"
"89","1625.8","8.87917E+01","-20.1059"
"90","1722.6","8.79384E+01","-19.5901"
"91","1825.2","8.71483E+01","-19.0991"
"92","1933.9","8.64331E+01","-18.5743"
"93","2049.1","8.56050E+01","-18.0755"
"94","2171.1","8.48923E+01","-17.6208"
"95","2300.4","8.42089E+01","-17.1220"
"96","2437.4","8.36256E+01","-16.6881"
"97","2582.6","8.30165E+01","-16.2151"
"98","2736.4","8.23400E+01","-15.7310"
"99","2899.4","8.18214E+01","-15.3100"
"100","3072.1","8.12740E+01","-14.8811"
"101","3255.1","8.06434E+01","-14.4815"
"102","3449.0","8.00780E+01","-14.0396"
"103","3654.4","7.96653E+01","-13.6302"
"104","3872.0","7.92182E+01","-13.2292"
"105","4102.7","7.86989E+01","-12.8347"
"106","4347.0","7.83291E+01","-12.4568"
"107","4605.9","7.79102E+01","-12.0982"
"108","4880.3","7.74565E+01","-11.7516"
"109","5170.9","7.70056E+01","-11.3664"
"110","5478.9","7.66027E+01","-11.0277"
"111","5805.2","7.62081E+01","-10.6926"
"112","6151.0","7.59271E+01","-10.3586"
"113","6517.3","7.55606E+01","-10.0097"
"114","6905.5","7.52115E+01","-9.7129"
"115","7316.8","7.49882E+01","-9.3942"
"116","7752.6","7.46557E+01","-9.1007"
"117","8214.3","7.43004E+01","-8.8147"
"118","8703.6","7.40310E+01","-8.5223"
"119","9222.0","7.37882E+01","-8.2552"
"120","9771.2","7.35467E+01","-7.9778"
"121","10353.0","7.32899E+01","-7.7250"
"122","10970.0","7.30273E+01","-7.4729"
"123","11623.0","7.27832E+01","-7.2289"
"124","12316.0","7.25846E+01","-7.0003"
"125","13049.0","7.23265E+01","-6.7740"
"126","13826.0","7.21810E+01","-6.5246"
"127","14650.0","7.19778E+01","-6.3105"
"128","15522.0","7.18009E+01","-6.1096"
"129","16447.0","7.15375E+01","-5.9039"
"130","17426.0","7.14534E+01","-5.6978"
"131","18464.0","7.11986E+01","-5.5033"
"132","19564.0","7.11328E+01","-5.3090"
"133","20729.0","7.09035E+01","-5.1311"
"134","21964.0","7.07108E+01","-4.9549"
"135","23272.0","7.06313E+01","-4.7826"
"136","24658.0","7.04183E+01","-4.6207"
"137","26127.0","7.03511E+01","-4.4525"
"138","27683.0","7.01894E+01","-4.2943"
"139","29332.0","7.01159E+01","-4.1390"
"140","31079.0","6.98906E+01","-3.9913"
"141","32930.0","6.98361E+01","-3.8553"
"142","34891.0","6.97527E+01","-3.7148"
"143","36969.0","6.96280E+01","-3.5782"
"144","39171.0","6.95333E+01","-3.4508"
"145","41504.0","6.94324E+01","-3.3228"
"146","43976.0","6.93704E+01","-3.1940"
"147","46595.0","6.92712E+01","-3.0812"
"148","49370.0","6.91877E+01","-2.9611"
"149","52311.0","6.90577E+01","-2.8563"
"150","55427.0","6.90290E+01","-2.7424"
"151","58728.0","6.88962E+01","-2.6380"
"152","62226.0","6.89204E+01","-2.5405"
"153","65932.0","6.87239E+01","-2.4391"
"154","69859.0","6.87252E+01","-2.3432"
"155","74020.0","6.87051E+01","-2.2525"
"156","78428.0","6.85858E+01","-2.1640"
"157","83099.0","6.85142E+01","-2.0775"
"158","88049.0","6.85018E+01","-1.9962"
"159","93293.0","6.84105E+01","-1.9144"
"160","98850.0","6.84170E+01","-1.8329"
