"HIOKI E.E. CORPORATION","IM3570","Ver. 3.13"

"DATE","25-11-17"
"TIME","20:04:01"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"CC","1.00","mA"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[ohm]","PHASE[deg]"
"1","10.0","6.08341E+02","-61.6332"
"2","10.6","5.81144E+02","-61.6059"
"3","11.23","5.63146E+02","-61.6342"
"4","11.9","5.45413E+02","-61.5394"
"5","12.6","5.27365E+02","-61.2579"
"6","13.35","5.10524E+02","-61.4166"
"7","14.15","4.92927E+02","-61.1388"
"8","14.99","4.77254E+02","-60.9596"
"9","15.89","4.62912E+02","-60.4826"
"10","16.83","4.49242E+02","-60.8334"
"11","17.83","4.35352E+02","-60.7491"
"12","18.9","4.20444E+02","-60.4561"
"13","20.02","4.07547E+02","-60.2258"
"14","21.21","3.95734E+02","-59.7444"
"15","22.48","3.83280E+02","-59.6146"
"16","23.82","3.72015E+02","-59.5017"
"17","25.24","3.59919E+02","-59.4575"
"18","26.74","3.48243E+02","-59.0173"
"19","28.33","3.38116E+02","-58.6784"
"20","30.02","3.27899E+02","-58.5784"
"21","31.81","3.17111E+02","-58.4725"
"22","33.7","3.07363E+02","-58.0081"
"23","35.71","2.98437E+02","-57.6749"
"24","37.83","2.89155E+02","-57.6438"
"25","40.09","2.80121E+02","-57.2173"
"26","42.48","2.71581E+02","-56.9266"
"27","45.01","2.63584E+02","-56.3348"
"28","47.69","2.54946E+02","-56.2239"
"29","50.53","2.47871E+02","-55.7834"
"30","53.54","2.40424E+02","-55.4536"
"31","56.72","2.33154E+02","-55.2572"
"32","60.1","2.26052E+02","-54.7560"
"33","63.68","2.19640E+02","-54.4811"
"34","67.48","2.12176E+02","-54.1804"
"35","71.49","2.05939E+02","-53.4641"
"36","75.75","1.99514E+02","-53.1520"
"37","80.26","1.93688E+02","-52.6107"
"38","85.04","1.87920E+02","-52.1257"
"39","90.11","1.82246E+02","-51.7146"
"40","95.48","1.76894E+02","-51.2575"
"41","101.16","1.72055E+02","-50.3934"
"42","107.19","1.66986E+02","-50.0502"
"43","113.57","1.61864E+02","-49.5331"
